"Time","Ig:Measured current","Iout:Measured current","Vinductor:Measured voltage","Vout:Measured voltage"
0.0052999999999998491,0,10,-10,10
0.0053,0,10,-10,10
0.0053010000000000002,0,10,-10,10
0.0053020000000000003,0,10,-10,10
0.0053030000000000004,0,10,-10,10
0.0053040000000000006,0,10,-10,10
0.0053040000000001515,10,10,90,10
0.0053042000000001217,10,10,90,10
0.005304400000000091,10,10,90,10
0.0053046000000000612,10,10,90,10
0.0053048000000000305,10,10,90,10
0.0053049999999998498,10,10,90,10
0.0053050000000000007,10,10,90,10
0.0053059999999999254,10,10,90,10
0.0053060000000000763,0,10,-10,10
0.0053078000000000613,0,10,-10,10
0.0053096000000000462,0,10,-10,10
0.0053114000000000303,0,10,-10,10
0.0053132000000000153,0,10,-10,10
0.0053149999999998494,0,10,-10,10
0.0053150000000000003,0,10,-10,10
0.0053160000000000004,0,10,-10,10
0.0053170000000000005,0,10,-10,10
0.0053179999999999998,0,10,-10,10
0.0053189999999999999,0,10,-10,10
0.0053199999999998492,0,10,-10,10
0.0053200000000000001,0,10,-10,10
0.0053210000000000002,0,10,-10,10
0.0053220000000000003,0,10,-10,10
0.0053230000000000005,0,10,-10,10
0.0053240000000000006,0,10,-10,10
0.0053240000000001515,10,10,90,10
0.0053242000000001217,10,10,90,10
0.005324400000000091,10,10,90,10
0.0053246000000000612,10,10,90,10
0.0053248000000000306,10,10,90,10
0.0053249999999998498,10,10,90,10
0.0053250000000000007,10,10,90,10
0.0053259999999999254,10,10,90,10
0.0053260000000000763,0,10,-10,10
0.0053278000000000613,0,10,-10,10
0.0053296000000000463,0,10,-10,10
0.0053314000000000304,0,10,-10,10
0.0053332000000000154,0,10,-10,10
0.0053349999999998485,0,10,-10,10
0.0053350000000000003,0,10,-10,10
0.0053360000000000005,0,10,-10,10
0.0053370000000000006,0,10,-10,10
0.0053379999999999999,0,10,-10,10
0.005339,0,10,-10,10
0.0053399999999998483,0,10,-10,10
0.0053400000000000001,0,10,-10,10
0.0053410000000000003,0,10,-10,10
0.0053420000000000004,0,10,-10,10
0.0053430000000000005,0,10,-10,10
0.0053440000000000007,0,10,-10,10
0.0053440000000001533,10,10,90,10
0.0053442000000001226,10,10,90,10
0.005344400000000092,10,10,90,10
0.0053446000000000621,10,10,90,10
0.0053448000000000315,10,10,90,10
0.005344999999999849,10,10,90,10
0.0053450000000000008,10,10,90,10
0.0053459999999999246,10,10,90,10
0.0053460000000000773,0,10,-10,10
0.0053478000000000622,0,10,-10,10
0.0053496000000000463,0,10,-10,10
0.0053514000000000313,0,10,-10,10
0.0053532000000000154,0,10,-10,10
0.0053549999999998486,0,10,-10,10
0.0053550000000000004,0,10,-10,10
0.0053560000000000005,0,10,-10,10
0.0053570000000000007,0,10,-10,10
0.0053579999999999999,0,10,-10,10
0.005359,0,10,-10,10
0.0053599999999998475,0,10,-10,10
0.0053600000000000002,0,10,-10,10
0.0053610000000000003,0,10,-10,10
0.0053620000000000004,0,10,-10,10
0.0053630000000000006,0,10,-10,10
0.0053640000000000007,0,10,-10,10
0.0053640000000001534,10,10,90,10
0.0053642000000001227,10,10,90,10
0.005364400000000092,10,10,90,10
0.0053646000000000622,10,10,90,10
0.0053648000000000315,10,10,90,10
0.0053649999999998482,10,10,90,10
0.0053650000000000008,10,10,90,10
0.0053659999999999246,10,10,90,10
0.0053660000000000773,0,10,-10,10
0.0053678000000000623,0,10,-10,10
0.0053696000000000464,0,10,-10,10
0.0053714000000000314,0,10,-10,10
0.0053732000000000155,0,10,-10,10
0.0053749999999998478,0,10,-10,10
0.0053750000000000004,0,10,-10,10
0.0053760000000000006,0,10,-10,10
0.0053770000000000007,0,10,-10,10
0.005378,0,10,-10,10
0.0053790000000000001,0,10,-10,10
0.0053799999999998476,0,10,-10,10
0.0053800000000000002,0,10,-10,10
0.0053810000000000004,0,10,-10,10
0.0053820000000000005,0,10,-10,10
0.0053829999999999998,0,10,-10,10
0.0053839999999999999,0,10,-10,10
0.0053840000000001526,10,10,90,10
0.0053842000000001219,10,10,90,10
0.0053844000000000912,10,10,90,10
0.0053846000000000614,10,10,90,10
0.0053848000000000307,10,10,90,10
0.0053849999999998474,10,10,90,10
0.005385,10,10,90,10
0.0053859999999999238,10,10,90,10
0.0053860000000000765,0,10,-10,10
0.0053878000000000615,0,10,-10,10
0.0053896000000000464,0,10,-10,10
0.0053914000000000305,0,10,-10,10
0.0053932000000000155,0,10,-10,10
0.005394999999999847,0,10,-10,10
0.0053950000000000005,0,10,-10,10
0.0053960000000000006,0,10,-10,10
0.0053970000000000008,0,10,-10,10
0.005398,0,10,-10,10
0.0053990000000000002,0,10,-10,10
0.0053999999999998468,0,10,-10,10
0.0054000000000000003,0,10,-10,10
0.0054010000000000004,0,10,-10,10
0.0054020000000000006,0,10,-10,10
0.0054029999999999998,0,10,-10,10
0.0054039999999999999,0,10,-10,10
0.0054040000000001543,10,10,90,10
0.0054042000000001237,10,10,90,10
0.005404400000000093,10,10,90,10
0.0054046000000000614,10,10,90,10
0.0054048000000000308,10,10,90,10
0.0054049999999998466,10,10,90,10
0.0054050000000000001,10,10,90,10
0.005405999999999923,10,10,90,10
0.0054060000000000774,0,10,-10,10
0.0054078000000000624,0,10,-10,10
0.0054096000000000465,0,10,-10,10
0.0054114000000000315,0,10,-10,10
0.0054132000000000156,0,10,-10,10
0.005414999999999847,0,10,-10,10
0.0054150000000000005,0,10,-10,10
0.0054160000000000007,0,10,-10,10
0.0054170000000000008,0,10,-10,10
0.0054180000000000001,0,10,-10,10
0.0054190000000000002,0,10,-10,10
0.0054199999999998459,0,10,-10,10
0.0054200000000000003,0,10,-10,10
0.0054210000000000005,0,10,-10,10
0.0054220000000000006,0,10,-10,10
0.0054229999999999999,0,10,-10,10
0.005424,0,10,-10,10
0.0054240000000001544,10,10,90,10
0.0054242000000001237,10,10,90,10
0.005424400000000093,10,10,90,10
0.0054246000000000615,10,10,90,10
0.0054248000000000308,10,10,90,10
0.0054249999999998457,10,10,90,10
0.0054250000000000001,10,10,90,10
0.0054259999999999231,10,10,90,10
0.0054260000000000775,0,10,-10,10
0.0054278000000000624,0,10,-10,10
0.0054296000000000465,0,10,-10,10
0.0054314000000000315,0,10,-10,10
0.0054332000000000156,0,10,-10,10
0.0054349999999998462,0,10,-10,10
0.0054350000000000006,0,10,-10,10
0.0054360000000000007,0,10,-10,10
0.0054370000000000009,0,10,-10,10
0.0054380000000000001,0,10,-10,10
0.0054390000000000003,0,10,-10,10
0.005439999999999846,0,10,-10,10
0.0054400000000000004,0,10,-10,10
0.0054410000000000005,0,10,-10,10
0.0054420000000000007,0,10,-10,10
0.0054429999999999999,0,10,-10,10
0.0054440000000000001,0,10,-10,10
0.0054440000000001544,10,10,90,10
0.0054442000000001238,10,10,90,10
0.0054444000000000931,10,10,90,10
0.0054446000000000615,10,10,90,10
0.0054448000000000309,10,10,90,10
0.0054449999999998458,10,10,90,10
0.0054450000000000002,10,10,90,10
0.0054459999999999231,10,10,90,10
0.0054460000000000775,0,10,-10,10
0.0054478000000000625,0,10,-10,10
0.0054496000000000466,0,10,-10,10
0.0054514000000000316,0,10,-10,10
0.0054532000000000157,0,10,-10,10
0.0054549999999998454,0,10,-10,10
0.0054550000000000006,0,10,-10,10
0.0054560000000000008,0,10,-10,10
0.0054570000000000009,0,10,-10,10
0.0054580000000000002,0,10,-10,10
0.0054590000000000003,0,10,-10,10
0.0054599999999998452,0,10,-10,10
0.0054600000000000004,0,10,-10,10
0.0054610000000000006,0,10,-10,10
0.0054620000000000007,0,10,-10,10
0.005463,0,10,-10,10
0.0054640000000000001,0,10,-10,10
0.0054640000000001562,10,10,90,10
0.0054642000000001247,10,10,90,10
0.005464400000000094,10,10,90,10
0.0054646000000000625,10,10,90,10
0.0054648000000000318,10,10,90,10
0.005464999999999845,10,10,90,10
0.0054650000000000002,10,10,90,10
0.0054659999999999223,10,10,90,10
0.0054660000000000784,0,10,-10,10
0.0054678000000000625,0,10,-10,10
0.0054696000000000475,0,10,-10,10
0.0054714000000000316,0,10,-10,10
0.0054732000000000166,0,10,-10,10
0.0054749999999998454,0,10,-10,10
0.0054750000000000007,0,10,-10,10
0.0054760000000000008,0,10,-10,10
0.005477000000000001,0,10,-10,10
0.0054780000000000002,0,10,-10,10
0.0054790000000000004,0,10,-10,10
0.0054799999999998444,0,10,-10,10
0.0054800000000000005,0,10,-10,10
0.0054810000000000006,0,10,-10,10
0.0054820000000000008,0,10,-10,10
0.005483,0,10,-10,10
0.0054840000000000002,0,10,-10,10
0.0054840000000001563,10,10,90,10
0.0054842000000001247,10,10,90,10
0.0054844000000000941,10,10,90,10
0.0054846000000000625,10,10,90,10
0.0054848000000000318,10,10,90,10
0.0054849999999998442,10,10,90,10
0.0054850000000000003,10,10,90,10
0.0054859999999999224,10,10,90,10
0.0054860000000000785,0,10,-10,10
0.0054878000000000626,0,10,-10,10
0.0054896000000000476,0,10,-10,10
0.0054914000000000317,0,10,-10,10
0.0054932000000000166,0,10,-10,10
0.0054949999999998446,0,10,-10,10
0.0054950000000000008,0,10,-10,10
0.0054960000000000009,0,10,-10,10
0.005497000000000001,0,10,-10,10
0.0054980000000000003,0,10,-10,10
0.0054990000000000004,0,10,-10,10
0.0054999999999998444,0,10,-10,10
0.0055000000000000005,0,10,-10,10
0.0055010000000000007,0,10,-10,10
0.0055020000000000008,0,10,-10,10
0.0055030000000000001,0,10,-10,10
0.0055040000000000002,0,10,-10,10
0.0055040000000001563,10,10,90,10
0.0055042000000001248,10,10,90,10
0.0055044000000000941,10,10,90,10
0.0055046000000000626,10,10,90,10
0.0055048000000000319,10,10,90,10
0.0055049999999998442,10,10,90,10
0.0055050000000000003,10,10,90,10
0.0055059999999999224,10,10,90,10
0.0055060000000000785,0,10,-10,10
0.0055078000000000626,0,10,-10,10
0.0055096000000000476,0,10,-10,10
0.0055114000000000317,0,10,-10,10
0.0055132000000000167,0,10,-10,10
0.0055149999999998438,0,10,-10,10
0.0055150000000000008,0,10,-10,10
0.0055160000000000009,0,10,-10,10
0.0055170000000000011,0,10,-10,10
0.0055180000000000003,0,10,-10,10
0.0055190000000000005,0,10,-10,10
0.0055199999999998436,0,10,-10,10
0.0055200000000000006,0,10,-10,10
0.0055210000000000007,0,10,-10,10
0.0055220000000000009,0,10,-10,10
0.0055230000000000001,0,10,-10,10
0.0055240000000000003,0,10,-10,10
0.0055240000000001581,10,10,90,10
0.0055242000000001266,10,10,90,10
0.005524400000000095,10,10,90,10
0.0055246000000000635,10,10,90,10
0.0055248000000000319,10,10,90,10
0.0055249999999998434,10,10,90,10
0.0055250000000000004,10,10,90,10
0.0055259999999999216,10,10,90,10
0.0055260000000000795,0,10,-10,10
0.0055278000000000636,0,10,-10,10
0.0055296000000000477,0,10,-10,10
0.0055314000000000326,0,10,-10,10
0.0055332000000000168,0,10,-10,10
0.0055349999999998439,0,10,-10,10
0.0055350000000000009,0,10,-10,10
0.005536000000000001,0,10,-10,10
0.0055370000000000011,0,10,-10,10
0.0055380000000000004,0,10,-10,10
0.0055390000000000005,0,10,-10,10
0.0055399999999998428,0,10,-10,10
0.0055400000000000007,0,10,-10,10
0.0055410000000000008,0,10,-10,10
0.0055420000000000009,0,10,-10,10
0.0055430000000000002,0,10,-10,10
0.0055440000000000003,0,10,-10,10
0.0055440000000001582,10,10,90,10
0.0055442000000001266,10,10,90,10
0.0055444000000000951,10,10,90,10
0.0055446000000000635,10,10,90,10
0.005544800000000032,10,10,90,10
0.0055449999999998426,10,10,90,10
0.0055450000000000004,10,10,90,10
0.0055459999999999217,10,10,90,10
0.0055460000000000795,0,10,-10,10
0.0055478000000000636,0,10,-10,10
0.0055496000000000477,0,10,-10,10
0.0055514000000000318,0,10,-10,10
0.0055532000000000159,0,10,-10,10
0.0055549999999998422,0,10,-10,10
0.005555,0,10,-10,10
0.0055560000000000002,0,10,-10,10
0.0055570000000000003,0,10,-10,10
0.0055580000000000004,0,10,-10,10
0.0055590000000000006,0,10,-10,10
0.0055599999999998428,0,10,-10,10
0.0055600000000000007,0,10,-10,10
0.0055610000000000008,0,10,-10,10
0.005562000000000001,0,10,-10,10
0.0055630000000000002,0,10,-10,10
0.0055640000000000004,0,10,-10,10
0.0055640000000001582,10,10,90,10
0.0055642000000001267,10,10,90,10
0.0055644000000000951,10,10,90,10
0.0055646000000000636,10,10,90,10
0.005564800000000032,10,10,90,10
0.0055649999999998426,10,10,90,10
0.0055650000000000005,10,10,90,10
0.0055659999999999217,10,10,90,10
0.0055660000000000796,0,10,-10,10
0.0055678000000000637,0,10,-10,10
0.0055696000000000478,0,10,-10,10
0.0055714000000000319,0,10,-10,10
0.005573200000000016,0,10,-10,10
0.0055749999999998414,0,10,-10,10
